"","city","lon","lat"
"1","Amsterdam, Netherlands",4.8951679,52.3702157
"2","Andorra la Vella, Andorra",1.5218355,42.5063174
"3","Athens, Greece",23.72754,37.98381
"4","Belgrade, Serbia",20.4489216,44.786568
"5","Berlin, Germany",13.40495,52.52001
"6","Bern, Switzerland",7.447447,46.94797
"7","Bratislava, Slovakia",17.1077478,48.1485965
"8","Brussels, Belgium",4.3517211,50.8503463
"9","Bucharest, Romania",26.10254,44.42677
"10","Budapest, Hungary",19.04023,47.49791
"11","Chisinau, Moldova",28.86381,47.01045
"12","Copenhagen, Denmark",12.5683372,55.6760968
"13","Dublin, Ireland",-6.2603097,53.3498053
"14","Helsinki, Finland",24.9383791,60.1698557
"15","Kiev, Ukraine",30.5234,50.4501
"16","Lisbon, Portugal",-9.1393366,38.7222524
"17","Ljubljana, Slovenia",14.5057515,46.0569465
"18","London, United Kingdom",-0.1277583,51.5073509
"19","Luxemborg, Luxemborg",6.129583,49.815273
"20","Madrid, Spain",-3.7037902,40.4167754
"21","Minsk, Belarus",27.5615244,53.9045398
"22","Monaco, Monaco",7.4246158,43.7384176
"23","Moscow, Russia",37.6172999,55.755826
"24","Nicosia, Cyprus",33.38228,35.18557
"25","Oslo, Norway",10.7522454,59.9138688
"26","Paris, France",2.352222222,48.8566111
"27","Podgorica, Montenegro",19.2593642,42.4304196
"28","Prague, Czech Republic",14.4378005,50.0755381
"29","Reykjavik, Iceland",-21.8174392,64.1265206
"30","Riga, Latvia",24.1051865,56.9496487
"31","Rome, Italy",12.4963655,41.9027835
"32","San Marino, San Marino",12.4472806,43.9355907
"33","Sarajevo, Bosnia",18.4130763,43.8562586
"34","Skopje, Macedonia",21.4279956,41.9973462
"35","Sofia, Bulgaria",23.3218675,42.6977082
"36","Stockholm, Sweden",18.0685808,59.3293235
"37","Tallinn, Estonia",24.7535747,59.4369608
"38","Tirana, Albania",19.8186982,41.3275459
"39","Vaduz, Liechtenstein",9.5209277,47.1410303
"40","Valletta, Malta",14.5145528,35.8989085
"41","Vienna, Austria",16.3738189,48.2081743
"42","Vilnius, Lithuania",25.2796514,54.6871555
"43","Warsaw, Poland",21.0122287,52.2296756
"44","Zagreb, Croatia",15.9819189,45.8150108
